timestamp,x,y,z
0,13.63,-6.7,22.65
10,13.69,-7.68,21.28
20,13.63,-9.23,19.69
30,13.8,-12.41,18.13
40,13.94,-15.53,14.95
50,13.53,-17.43,9.61
60,12.77,-17.73,3.63
70,12.2,-17.5,-2.05
80,11.49,-16.54,-5.26
90,10.36,-16.02,-5.91
100,8.73,-17.35,-4.06
110,6.73,-18.87,-2.31
120,4.36,-19.3,-0.96
130,2.06,-19.64,0.46
140,0.16,-19.91,1.13
150,-1.36,-20.74,1.35
160,-3.24,-22.82,1.51
170,-6.39,-24.56,-0.15
180,-10.64,-24.86,-4.58
190,-14.88,-24.77,-9.37
200,-18.87,-25.27,-12.34
210,-22.74,-26.55,-15.13
220,-28.05,-28.18,-20.7
230,-33.44,-28.96,-29.9
240,-37.18,-29.5,-38.71
250,-38.42,-29.79,-45.65
260,-36.17,-28.94,-51.41
270,-31.2,-28.59,-53.78
280,-25.77,-28.45,-50.6
290,-21.32,-28.85,-41.7
300,-17.62,-29.37,-30.99
310,-14.79,-29.98,-23.43
320,-11.85,-31.1,-18.02
330,-8.31,-32.79,-15.56
340,-3.95,-34.73,-15.36
350,0.4,-35.57,-16.26
360,4.02,-35.98,-16.35
370,6.72,-36.78,-15.33
380,8.11,-38.25,-12.75
390,7.48,-39.28,-8.86
400,5.52,-40.2,-3.6
410,4.02,-41.24,4.16
420,3.57,-40.62,13.3
430,4.52,-37.8,22.5
440,7.47,-34.23,30.46
450,9.33,-29.16,32.32
460,9.8,-24.67,30.73
470,10.17,-20.47,31.1
480,11.99,-18.05,34.07
490,16.22,-16.59,36.94
500,21.65,-14.72,37.06
510,27.46,-12.32,37.54
520,33.5,-10.09,38.4
530,37.6,-7.67,39.11
540,38.51,-6.06,38.84
550,36.66,-4.85,39.65
560,32.11,-3.87,40.33
570,26.25,-3.37,39.32
580,20.34,-4.44,36.5
590,16.26,-5.6,31.37
600,16.1,-7.04,24.08
610,18.57,-8.87,17.69
620,21.44,-10.42,12.96
630,23.59,-11.93,10.25
640,24.06,-13.27,10.57
650,21.92,-14.82,12.85
660,17.74,-16.28,14.01
670,12.61,-17.16,13.75
680,7.94,-17.82,12.25
690,4.7,-18.53,8.87
700,3.39,-18.62,5.19
710,2.96,-19.05,3.1
720,2.26,-19.82,1.95
730,0.79,-19.97,0.95
740,-0.39,-20.21,0.42
750,-1.34,-20.6,0.19
760,-2.35,-21.09,0.01
770,-3.6,-21.26,-0.59
780,-5.44,-20.88,-1.44
790,-7.48,-20.97,-1.96
800,-10.13,-21.23,-2.79
810,-13.72,-21.18,-4.82
820,-16.79,-21.16,-8.69
830,-18.82,-21.93,-14.08
840,-20.8,-23.48,-20.59
850,-23.31,-25.29,-29.83
860,-26.02,-26.15,-41.82
870,-28.45,-24.9,-54.07
880,-30.85,-22.61,-61.74
890,-32.68,-21.42,-62.69
900,-33.48,-20.32,-58.26
910,-32.42,-19.49,-48.73
920,-28.57,-19.95,-37.27
930,-22.77,-21.68,-27.48
940,-16.21,-23.52,-22.13
950,-10.08,-24.83,-20.42
960,-5.17,-25.73,-20.09
970,-1.66,-26.34,-19.53
980,-0.06,-26.97,-17.56
990,-0.18,-27.75,-14.16
1000,-1.07,-28.13,-10.9
