timestamp,x,y,z
0,-8.13,5.61,16.49
10,-8.46,5.65,16.24
20,-8.48,5.7,16.04
30,-8.23,5.64,15.71
40,-7.75,5.5,15.09
50,-7.11,5.31,14.29
60,-6.29,5.18,13.37
70,-5.36,4.96,12.48
80,-4.45,4.58,11.55
90,-3.63,4.16,10.47
100,-2.82,3.73,9.34
110,-2.05,3.17,8.21
120,-1.48,2.55,7.0
130,-1.08,1.78,5.82
140,-0.71,1.09,4.61
150,-0.45,0.36,3.26
160,-0.43,-0.54,1.98
170,-0.44,-1.4,0.74
180,-0.27,-2.35,-0.8
190,0.17,-3.47,-2.65
200,1.18,-4.54,-4.8
210,3.37,-4.42,-8.57
220,6.04,-3.16,-14.15
230,7.75,-2.33,-19.82
240,8.54,-1.97,-25.13
250,8.22,-1.84,-29.47
260,7.4,-2.16,-32.73
270,7.06,-2.73,-34.87
280,7.96,-2.92,-35.59
290,9.89,-2.56,-34.66
300,12.09,-1.64,-32.68
310,13.5,-0.57,-30.16
320,13.87,0.38,-27.66
330,13.05,0.99,-25.68
340,11.42,1.05,-24.21
350,9.56,0.86,-23.19
360,7.79,0.54,-22.32
370,6.3,0.04,-21.1
380,5.27,-0.52,-19.35
390,4.7,-0.98,-17.22
400,4.44,-1.41,-14.64
410,4.04,-1.63,-11.77
420,3.47,-1.89,-8.74
430,2.78,-2.01,-5.76
440,2.09,-1.88,-3.03
450,1.53,-1.6,-0.61
460,1.16,-1.05,1.4
470,0.96,-0.36,3.02
480,0.67,0.41,4.41
490,0.15,1.05,5.87
500,-0.49,1.58,7.62
510,-1.13,2.22,9.67
520,-1.79,3.01,12.15
530,-2.59,3.89,14.6
540,-3.63,4.55,16.81
550,-4.75,4.97,18.64
560,-6.02,5.33,19.99
570,-7.35,5.57,20.63
580,-8.49,5.67,20.41
590,-9.45,5.6,19.53
600,-10.03,5.22,18.21
610,-10.27,4.79,16.72
620,-10.03,4.36,15.19
630,-9.32,3.95,13.8
640,-8.24,3.64,12.72
650,-6.92,3.39,11.97
660,-5.38,3.14,11.24
670,-3.6,2.94,10.39
680,-1.99,2.53,9.24
690,-0.76,1.82,7.9
700,-0.1,0.68,6.48
710,0.15,-0.68,4.9
720,0.24,-2.21,2.94
730,0.25,-4.09,0.42
740,0.55,-6.38,-3.0
750,1.61,-8.02,-7.7
760,3.71,-7.92,-13.99
770,6.58,-6.19,-21.54
780,10.24,-4.07,-29.53
790,13.73,-1.81,-36.32
800,15.61,-1.36,-40.4
810,14.42,-1.26,-40.92
820,12.35,-1.83,-38.19
830,11.07,-2.53,-33.38
840,10.3,-2.35,-28.52
850,10.37,-1.3,-24.75
860,10.71,0.14,-22.65
870,10.52,1.08,-21.54
880,9.63,1.35,-20.67
890,8.45,1.38,-19.66
900,6.87,1.12,-18.34
910,5.2,0.55,-16.55
920,3.71,0.04,-14.49
930,2.6,-0.34,-12.31
940,1.93,-0.63,-10.15
950,1.66,-0.73,-7.77
960,1.66,-0.54,-5.3
970,1.76,-0.29,-2.92
980,1.64,0.06,-0.71
990,1.42,0.58,1.31
1000,1.14,1.15,3.12
