timestamp,x,y,z
0,2.74,5.1,3.88
10,0.63,6.34,5.46
20,-2.24,6.06,7.32
30,-5.31,5.15,9.57
40,-7.17,4.86,10.81
50,-7.95,5.36,11.45
60,-8.25,5.85,12.44
70,-8.12,6.22,13.82
80,-7.61,6.69,14.88
90,-7.26,7.02,15.32
100,-7.46,6.82,15.26
110,-7.75,6.25,14.97
120,-7.61,5.49,14.38
130,-7.03,4.87,13.19
140,-6.19,4.37,11.44
150,-5.32,3.86,9.42
160,-4.69,3.31,7.62
170,-4.37,2.66,5.97
180,-4.01,1.85,4.35
190,-3.2,0.87,2.57
200,-1.79,-0.03,0.26
210,-0.14,-0.7,-2.93
220,1.65,-1.15,-7.16
230,3.83,-1.5,-12.04
240,6.56,-1.49,-16.62
250,9.73,-0.7,-20.73
260,13.27,0.45,-24.81
270,16.34,1.65,-28.74
280,17.9,2.37,-31.37
290,18.26,2.52,-31.87
300,17.93,2.51,-30.54
310,17.16,2.6,-28.51
320,16.26,2.9,-26.66
330,15.33,3.25,-25.43
340,13.88,3.24,-24.37
350,12.16,2.89,-23.16
360,10.43,2.57,-21.8
370,8.87,2.39,-20.5
380,7.29,2.09,-18.97
390,5.66,1.6,-16.84
400,4.27,1.25,-14.06
410,3.16,1.27,-10.85
420,2.05,1.46,-7.7
430,0.56,1.46,-4.85
440,-1.07,1.38,-2.29
450,-2.87,1.34,0.02
460,-4.67,1.3,2.31
470,-6.33,1.53,4.45
480,-7.62,2.09,6.5
490,-8.58,2.77,8.73
500,-9.2,3.43,11.46
510,-9.53,4.33,14.38
520,-9.34,5.32,16.4
530,-8.76,6.02,17.18
540,-7.94,6.21,16.98
550,-7.3,6.09,16.56
560,-6.99,5.36,16.09
570,-6.51,4.47,15.45
580,-5.33,3.62,14.41
590,-3.86,2.59,13.01
600,-2.28,1.51,11.27
610,-0.83,0.09,9.03
620,0.48,-1.58,6.27
630,2.09,-3.72,2.92
640,4.78,-5.82,-1.18
650,9.07,-6.95,-6.61
660,15.14,-6.0,-14.07
670,21.46,-2.1,-23.97
680,27.4,-1.61,-34.0
690,29.31,0.73,-42.37
700,27.57,1.62,-45.05
710,22.92,0.49,-41.15
720,18.07,-1.24,-34.52
730,14.93,-2.03,-27.95
740,13.8,-1.73,-22.99
750,13.71,-1.21,-19.81
760,13.84,-0.99,-18.1
770,13.76,-0.97,-17.08
780,13.11,-1.22,-16.02
790,11.99,-1.75,-14.64
800,10.24,-2.65,-12.92
810,8.15,-3.71,-10.91
820,6.14,-4.56,-8.59
830,4.44,-5.03,-6.07
840,3.06,-5.21,-3.65
850,2.08,-5.06,-1.36
860,1.33,-4.61,0.76
870,1.04,-3.69,2.89
880,0.83,-2.65,5.0
890,0.37,-1.4,7.12
900,-0.44,-0.13,9.3
910,-1.57,0.91,11.7
920,-2.91,1.52,14.37
930,-4.56,1.8,17.08
940,-6.4,2.04,19.41
950,-8.16,2.54,21.07
960,-9.75,3.08,21.95
970,-11.09,3.41,22.11
980,-12.3,3.19,21.71
990,-12.78,3.14,20.92
1000,-12.71,3.14,19.91
