timestamp,x,y,z
0,17.92,5.43,-23.06
10,20.05,5.85,-20.73
20,21.37,6.66,-18.61
30,21.0,7.27,-16.73
40,19.28,7.38,-15.29
50,17.41,7.1,-14.16
60,15.99,6.72,-13.34
70,14.6,6.05,-12.51
80,12.88,6.39,-11.14
90,10.92,6.57,-8.83
100,9.22,6.15,-6.43
110,7.85,5.74,-4.74
120,6.48,5.06,-3.3
130,5.02,4.51,-2.09
140,3.94,4.14,-1.09
150,2.87,3.77,-0.56
160,1.76,3.36,-0.7
170,0.61,2.71,-0.94
180,-0.45,1.95,-0.96
190,-1.34,1.34,-0.73
200,-2.14,0.92,-0.41
210,-3.15,0.7,0.09
220,-4.45,-0.03,0.57
230,-5.83,-0.93,0.91
240,-7.1,-1.4,1.25
250,-8.2,-2.18,1.77
260,-8.98,-3.15,2.64
270,-9.09,-4.08,4.15
280,-8.6,-4.78,6.17
290,-7.69,-4.97,8.61
300,-7.03,-5.32,11.18
310,-6.73,-6.1,13.71
320,-6.52,-6.71,16.13
330,-6.41,-6.96,18.41
340,-6.63,-8.03,20.53
350,-6.96,-7.67,22.8
360,-7.17,-8.18,24.21
370,-7.86,-8.49,24.94
380,-8.39,-8.43,24.89
390,-8.36,-8.52,24.02
400,-7.63,-8.43,22.71
410,-6.61,-8.79,21.54
420,-5.44,-9.6,20.65
430,-3.98,-9.9,19.68
440,-2.67,-10.09,17.97
450,-1.77,-10.91,16.2
460,-0.93,-11.12,14.29
470,0.26,-11.23,11.9
480,1.24,-11.15,9.32
490,1.75,-10.87,6.82
500,1.86,-11.12,4.74
510,1.92,-11.51,2.93
520,2.5,-11.87,0.68
530,3.88,-12.0,-2.26
540,5.46,-10.56,-5.29
550,7.52,-9.01,-8.6
560,10.09,-6.88,-13.18
570,13.04,-4.98,-19.42
580,14.39,-3.93,-27.02
590,13.24,-4.51,-36.75
600,9.47,-5.24,-42.77
610,4.5,-3.69,-41.78
620,1.06,-2.19,-38.05
630,-1.23,-1.89,-35.23
640,-2.25,-1.43,-33.79
650,-2.46,-0.37,-32.95
660,-2.25,0.89,-31.92
670,-2.11,1.62,-30.2
680,-1.97,1.45,-27.62
690,-1.5,1.23,-24.55
700,-0.48,1.26,-21.86
710,1.0,0.97,-20.15
720,2.35,0.89,-19.02
730,3.07,1.5,-17.84
740,3.57,3.51,-16.12
750,3.58,5.35,-14.1
760,3.03,5.96,-12.21
770,2.32,4.87,-11.13
780,1.42,3.27,-10.54
790,0.21,1.69,-9.92
800,-1.05,-0.17,-8.85
810,-2.0,-1.56,-7.25
820,-2.3,-2.31,-5.42
830,-2.32,-2.62,-3.65
840,-2.27,-2.98,-2.18
850,-2.31,-3.69,-0.76
860,-2.31,-4.59,0.81
870,-2.6,-5.26,2.44
880,-3.03,-5.59,3.92
890,-3.6,-6.1,5.11
900,-3.96,-7.04,6.12
910,-4.05,-8.03,7.63
920,-3.6,-8.58,9.44
930,-2.74,-8.75,11.82
940,-1.74,-7.96,14.97
950,-1.07,-7.8,18.5
960,-1.11,-7.38,21.49
970,-1.67,-6.76,23.41
980,-2.32,-7.12,24.06
990,-2.74,-6.93,23.91
1000,-2.59,-5.9,22.91
