timestamp,x,y,z
0,-6.22,5.49,-6.01
10,-2.05,5.44,-6.46
20,1.94,4.98,-6.79
30,5.53,3.12,-6.88
40,8.12,0.63,-6.61
50,9.2,-2.17,-5.37
60,9.58,-5.67,-2.75
70,9.86,-9.74,1.81
80,11.25,-12.93,8.25
90,14.09,-14.17,15.84
100,18.52,-13.33,21.45
110,22.88,-11.55,24.23
120,26.24,-9.85,24.8
130,27.37,-7.6,23.49
140,25.67,-5.19,19.17
150,23.58,-3.48,14.76
160,20.14,-3.03,12.3
170,17.36,-3.9,11.67
180,15.12,-4.65,11.86
190,13.18,-4.23,11.63
200,11.91,-2.83,10.45
210,11.71,-1.38,8.7
220,12.2,-0.7,6.58
230,12.47,-0.3,4.61
240,12.22,0.17,3.14
250,11.45,0.33,2.07
260,10.39,-0.28,1.55
270,8.98,-1.82,1.69
280,7.04,-3.83,2.3
290,4.74,-5.88,2.83
300,2.09,-7.31,3.76
310,-0.4,-8.03,4.91
320,-2.8,-8.4,5.9
330,-4.73,-8.14,6.66
340,-5.64,-7.11,6.82
350,-5.61,-5.77,6.47
360,-4.93,-4.71,5.52
370,-4.21,-4.07,4.17
380,-3.78,-3.78,2.65
390,-3.59,-3.81,1.02
400,-3.79,-3.93,-0.84
410,-4.18,-3.97,-2.92
420,-5.23,-4.27,-5.11
430,-7.18,-4.67,-7.24
440,-10.03,-5.23,-9.37
450,-14.02,-5.76,-11.43
460,-19.12,-6.45,-13.33
470,-24.38,-7.33,-14.63
480,-28.29,-7.86,-14.13
490,-29.6,-7.81,-11.67
500,-28.32,-7.12,-7.98
510,-25.04,-5.64,-4.62
520,-20.97,-3.61,-2.58
530,-17.16,-1.51,-1.58
540,-13.92,0.3,-1.6
550,-11.59,1.54,-2.29
560,-10.01,2.32,-3.17
570,-9.06,2.55,-4.07
580,-8.8,2.48,-4.61
590,-9.16,2.17,-4.6
600,-9.98,1.7,-4.16
610,-10.87,1.22,-3.77
620,-11.74,0.72,-3.46
630,-12.49,0.23,-3.1
640,-13.13,-0.24,-2.77
650,-13.63,-0.74,-2.68
660,-13.99,-1.31,-2.73
670,-14.09,-1.92,-2.56
680,-13.35,-2.24,-2.22
690,-11.97,-2.17,-2.1
700,-10.27,-1.75,-1.89
710,-8.34,-1.1,-1.56
720,-6.42,-0.17,-1.23
730,-4.51,0.68,-1.03
740,-3.0,1.35,-0.92
750,-1.94,1.67,-0.87
760,-1.12,1.6,-1.0
770,-0.45,0.95,-1.13
780,0.2,0.02,-0.72
790,1.27,-1.16,-0.04
800,2.26,-2.79,0.55
810,2.96,-4.87,1.44
820,3.96,-7.16,2.95
830,5.26,-8.81,4.71
840,6.76,-9.99,6.05
850,8.49,-10.72,7.59
860,10.96,-10.66,9.69
870,13.67,-9.89,11.82
880,16.64,-8.21,12.96
890,19.88,-5.7,12.47
900,22.31,-2.93,10.93
910,23.43,-0.53,8.78
920,23.25,0.81,6.12
930,21.8,1.69,4.15
940,19.46,1.68,3.39
950,16.86,0.97,3.38
960,14.39,0.19,3.85
970,12.14,-0.27,4.74
980,10.75,-0.29,5.22
990,10.43,0.35,5.19
1000,10.96,1.36,4.81
