timestamp,x,y,z
0,10.4,14.26,-15.52
10,11.29,14.39,-12.97
20,11.46,13.61,-9.6
30,11.21,12.52,-6.74
40,11.2,11.6,-4.65
50,11.47,10.57,-2.92
60,11.87,9.07,-1.53
70,12.51,7.93,-0.77
80,13.46,6.79,-0.34
90,14.53,5.6,-0.14
100,14.94,4.79,-0.15
110,14.86,4.49,-0.23
120,14.86,4.66,-0.55
130,14.73,4.94,-1.1
140,14.2,4.92,-2.27
150,13.71,4.77,-4.35
160,12.73,4.41,-6.99
170,11.24,3.91,-9.73
180,9.12,2.92,-12.28
190,6.56,1.39,-14.58
200,3.96,0.21,-16.23
210,1.29,-0.2,-16.4
220,-0.91,-0.03,-14.86
230,-2.58,0.05,-12.42
240,-3.85,0.44,-10.23
250,-4.73,0.81,-8.43
260,-5.28,0.99,-6.92
270,-5.54,1.02,-5.92
280,-5.46,1.44,-5.35
290,-5.2,1.37,-4.71
300,-5.02,1.41,-4.02
310,-5.16,1.64,-3.11
320,-5.41,2.31,-2.44
330,-5.79,3.01,-2.25
340,-6.22,3.63,-2.46
350,-6.48,4.31,-3.02
360,-6.56,5.11,-3.95
370,-6.73,5.97,-5.3
380,-7.0,6.96,-6.81
390,-7.2,7.86,-8.03
400,-7.43,8.63,-8.85
410,-7.85,9.57,-9.7
420,-8.59,10.42,-10.48
430,-9.71,10.93,-10.94
440,-11.01,11.49,-10.77
450,-12.36,12.03,-9.94
460,-13.44,11.77,-8.56
470,-14.21,13.06,-7.07
480,-15.29,12.3,-5.43
490,-15.41,12.87,-3.49
500,-14.39,13.6,-2.4
510,-13.33,14.53,-2.03
520,-12.57,15.11,-1.86
530,-12.18,15.27,-2.0
540,-11.93,15.23,-2.31
550,-11.38,15.19,-2.85
560,-10.54,15.14,-3.29
570,-9.76,14.82,-3.91
580,-8.91,14.34,-4.7
590,-7.8,13.73,-5.33
600,-6.37,13.3,-5.78
610,-4.77,12.87,-6.19
620,-3.2,12.08,-6.51
630,-1.57,11.12,-6.76
640,0.5,10.27,-7.02
650,3.15,9.5,-7.39
660,6.45,8.86,-7.62
670,10.12,8.65,-7.91
680,13.35,9.01,-8.21
690,15.71,9.71,-8.58
700,16.97,10.47,-8.92
710,17.05,11.11,-9.26
720,16.01,11.07,-9.38
730,14.34,10.55,-9.02
740,12.74,10.15,-8.21
750,11.47,9.72,-7.2
760,10.47,9.14,-6.22
770,9.76,8.29,-5.46
780,9.43,7.19,-4.92
790,9.39,6.08,-4.54
800,9.65,5.02,-4.43
810,10.23,4.35,-4.54
820,11.01,3.98,-4.79
830,11.88,3.74,-5.31
840,12.7,3.67,-6.11
850,13.27,3.47,-7.32
860,13.3,2.82,-8.9
870,12.88,1.99,-10.6
880,11.98,1.01,-12.13
890,10.41,-0.29,-13.16
900,8.19,-1.29,-13.66
910,5.36,-1.85,-13.52
920,2.44,-2.15,-12.77
930,-0.66,-2.13,-11.75
940,-3.84,-1.76,-10.69
950,-6.34,-1.34,-9.73
960,-8.1,-0.63,-8.76
970,-9.23,0.11,-7.7
980,-10.06,0.88,-6.74
990,-10.56,1.65,-5.92
1000,-10.38,2.5,-5.17
