timestamp,x,y,z
0,21.05,7.21,-6.51
10,19.14,6.98,-9.95
20,16.68,6.29,-13.0
30,14.81,6.39,-14.82
40,13.33,7.06,-14.63
50,12.8,7.1,-13.31
60,13.71,7.21,-13.9
70,14.2,7.84,-16.69
80,13.47,7.54,-19.33
90,11.32,6.59,-19.94
100,8.53,5.7,-18.55
110,6.25,4.94,-16.28
120,4.58,4.37,-14.22
130,3.36,3.95,-12.57
140,2.03,3.56,-11.31
150,0.25,3.2,-10.53
160,-1.98,3.1,-10.32
170,-4.47,3.23,-10.92
180,-7.13,3.38,-11.84
190,-9.43,3.18,-12.15
200,-11.02,2.76,-11.52
210,-11.78,2.33,-9.98
220,-11.58,2.16,-7.93
230,-10.65,2.03,-5.92
240,-9.25,1.91,-4.26
250,-7.67,1.88,-2.94
260,-6.51,1.88,-1.96
270,-5.93,1.89,-1.15
280,-5.9,1.96,-0.41
290,-5.86,2.26,0.43
300,-5.54,2.57,1.32
310,-4.83,3.05,2.38
320,-3.91,3.24,3.45
330,-2.42,2.72,4.62
340,-0.41,2.37,6.31
350,1.58,2.19,8.38
360,4.15,2.71,10.91
370,7.07,3.96,13.41
380,9.02,5.03,15.39
390,9.69,5.23,16.57
400,9.45,4.72,16.76
410,9.07,4.22,15.95
420,9.26,4.14,14.11
430,10.36,3.95,11.92
440,12.86,3.39,9.05
450,15.74,3.53,4.26
460,18.49,4.41,-0.8
470,21.04,5.5,-5.41
480,22.22,6.24,-9.33
490,20.92,5.87,-12.58
500,17.88,5.12,-15.26
510,15.32,3.97,-17.01
520,13.46,3.27,-17.53
530,11.84,3.47,-17.18
540,10.44,3.27,-16.66
550,9.33,2.96,-16.81
560,8.53,2.74,-17.75
570,7.79,2.58,-18.76
580,7.05,2.52,-19.43
590,6.19,2.44,-19.61
600,5.55,2.43,-19.24
610,5.31,2.42,-18.29
620,5.12,2.38,-16.85
630,4.95,2.43,-15.26
640,4.68,2.64,-14.02
650,4.19,2.72,-13.0
660,3.44,2.59,-12.14
670,2.23,2.35,-11.51
680,0.64,2.13,-11.06
690,-1.21,1.9,-10.67
700,-3.18,1.52,-10.3
710,-5.04,1.15,-9.65
720,-6.76,0.71,-8.65
730,-8.49,0.36,-7.57
740,-10.26,0.29,-6.27
750,-11.77,0.31,-4.89
760,-12.54,0.34,-3.56
770,-12.45,0.17,-2.58
780,-11.92,0.0,-1.62
790,-10.87,-0.05,-0.64
800,-9.4,0.11,0.35
810,-7.95,0.4,1.35
820,-6.86,0.7,2.59
830,-6.06,1.17,3.78
840,-5.28,1.56,4.88
850,-4.52,1.56,5.77
860,-4.04,1.09,6.37
870,-3.72,0.82,6.91
880,-2.66,0.75,7.35
890,-0.25,0.42,8.26
900,2.58,0.39,9.88
910,5.06,1.02,12.17
920,6.9,1.72,14.21
930,8.26,2.63,15.27
940,9.61,3.54,15.22
950,10.94,3.96,14.31
960,12.61,4.52,12.89
970,14.18,4.95,11.75
980,15.14,5.21,11.1
990,15.68,5.29,10.71
1000,15.68,4.66,10.81
